Year,County,Planting Date,V8_to_R3_Duration
1951,Benton,1951-04-15,72.0
1951,Benton,1951-04-16,72.0
1951,Benton,1951-04-17,72.0
1951,Benton,1951-04-18,72.0
1951,Benton,1951-04-19,72.0
1951,Benton,1951-04-20,72.0
1951,Benton,1951-04-21,72.0
1951,Benton,1951-04-22,72.0
1951,Benton,1951-04-23,72.0
1951,Benton,1951-04-24,72.0
1951,Benton,1951-04-25,72.0
1951,Benton,1951-04-26,72.0
1951,Benton,1951-04-27,72.0
1951,Benton,1951-04-28,73.0
1951,Benton,1951-04-29,73.0
1951,Benton,1951-04-30,74.0
1951,Benton,1951-05-01,76.0
1951,Benton,1951-05-02,83.0
1951,Benton,1951-05-03,83.0
1951,Benton,1951-05-04,82.0
1951,Benton,1951-05-05,83.0
1951,Benton,1951-05-06,83.0
1951,Benton,1951-05-07,87.0
1951,Benton,1951-05-08,89.0
1951,Benton,1951-05-09,89.0
1951,Benton,1951-05-10,90.0
1951,Benton,1951-05-11,90.0
1951,Benton,1951-05-12,91.0
1951,Benton,1951-05-13,92.0
1951,Benton,1951-05-14,100.0
1951,Douglas,1951-04-15,92.0
1951,Douglas,1951-04-16,92.0
1951,Douglas,1951-04-17,92.0
1951,Douglas,1951-04-18,92.0
1951,Douglas,1951-04-19,92.0
1951,Douglas,1951-04-20,92.0
1951,Douglas,1951-04-21,92.0
1951,Douglas,1951-04-22,92.0
1951,Douglas,1951-04-23,92.0
1951,Douglas,1951-04-24,92.0
1951,Douglas,1951-04-25,93.0
1951,Douglas,1951-04-26,93.0
1951,Douglas,1951-04-27,93.0
1951,Douglas,1951-04-28,94.0
1951,Douglas,1951-04-29,94.0
1951,Kandiyohi,1951-04-15,68.0
1951,Kandiyohi,1951-04-16,68.0
1951,Kandiyohi,1951-04-17,68.0
1951,Kandiyohi,1951-04-18,68.0
1951,Kandiyohi,1951-04-19,68.0
1951,Kandiyohi,1951-04-20,68.0
1951,Kandiyohi,1951-04-21,68.0
1951,Kandiyohi,1951-04-22,68.0
1951,Kandiyohi,1951-04-23,68.0
1951,Kandiyohi,1951-04-24,68.0
1951,Kandiyohi,1951-04-25,68.0
1951,Kandiyohi,1951-04-26,69.0
1951,Kandiyohi,1951-04-27,68.0
1951,Kandiyohi,1951-04-28,70.0
1951,Kandiyohi,1951-04-29,71.0
1951,Kandiyohi,1951-04-30,71.0
1951,Kandiyohi,1951-05-01,72.0
1951,Kandiyohi,1951-05-02,72.0
1951,Kandiyohi,1951-05-03,73.0
1951,Kandiyohi,1951-05-04,80.0
1951,Kandiyohi,1951-05-05,80.0
1951,Kandiyohi,1951-05-06,81.0
1951,Kandiyohi,1951-05-07,81.0
1951,Kandiyohi,1951-05-08,80.0
1951,Kandiyohi,1951-05-09,80.0
1951,Kandiyohi,1951-05-10,80.0
1951,Kandiyohi,1951-05-11,81.0
1951,Kandiyohi,1951-05-12,82.0
1951,Kandiyohi,1951-05-13,87.0
1951,Kandiyohi,1951-05-14,87.0
1951,Kandiyohi,1951-05-15,88.0
1951,Kandiyohi,1951-05-16,89.0
1951,Kandiyohi,1951-05-17,89.0
1951,Kandiyohi,1951-05-18,97.0
1951,Morrison,1951-04-15,94.0
1951,Morrison,1951-04-16,94.0
1951,Morrison,1951-04-17,94.0
1951,Morrison,1951-04-18,94.0
1951,Morrison,1951-04-19,94.0
1951,Morrison,1951-04-20,94.0
1951,Morrison,1951-04-21,94.0
1951,Morrison,1951-04-22,94.0
1951,Morrison,1951-04-23,94.0
1951,Morrison,1951-04-24,94.0
1951,Morrison,1951-04-25,95.0
1951,Morrison,1951-04-26,94.0
1951,Morrison,1951-04-27,95.0
1951,Morrison,1951-04-28,95.0
1951,Morrison,1951-04-29,95.0
1951,Morrison,1951-04-30,96.0
1951,Otter_Tail,1951-04-15,93.0
1951,Otter_Tail,1951-04-16,93.0
1951,Otter_Tail,1951-04-17,93.0
1951,Otter_Tail,1951-04-18,93.0
1951,Otter_Tail,1951-04-19,93.0
1951,Otter_Tail,1951-04-20,93.0
1951,Otter_Tail,1951-04-21,93.0
1951,Otter_Tail,1951-04-22,93.0
1951,Otter_Tail,1951-04-23,93.0
1951,Otter_Tail,1951-04-24,93.0
1951,Otter_Tail,1951-04-25,93.0
1951,Otter_Tail,1951-04-26,94.0
1951,Otter_Tail,1951-04-27,94.0
1951,Otter_Tail,1951-04-28,95.0
1951,Otter_Tail,1951-04-29,95.0
1951,Pope,1951-04-15,85.0
1951,Pope,1951-04-16,85.0
1951,Pope,1951-04-17,85.0
1951,Pope,1951-04-18,85.0
1951,Pope,1951-04-19,85.0
1951,Pope,1951-04-20,85.0
1951,Pope,1951-04-21,85.0
1951,Pope,1951-04-22,85.0
1951,Pope,1951-04-23,85.0
1951,Pope,1951-04-24,85.0
1951,Pope,1951-04-25,86.0
1951,Pope,1951-04-26,85.0
1951,Pope,1951-04-27,86.0
1951,Pope,1951-04-28,90.0
1951,Pope,1951-04-29,91.0
1951,Pope,1951-04-30,91.0
1951,Pope,1951-05-01,91.0
1951,Pope,1951-05-02,93.0
1951,Pope,1951-05-03,93.0
1951,Sherburne,1951-04-15,68.0
1951,Sherburne,1951-04-16,68.0
1951,Sherburne,1951-04-17,68.0
1951,Sherburne,1951-04-18,68.0
1951,Sherburne,1951-04-19,68.0
1951,Sherburne,1951-04-20,68.0
1951,Sherburne,1951-04-21,68.0
1951,Sherburne,1951-04-22,68.0
1951,Sherburne,1951-04-23,68.0
1951,Sherburne,1951-04-24,68.0
1951,Sherburne,1951-04-25,67.0
1951,Sherburne,1951-04-26,68.0
1951,Sherburne,1951-04-27,67.0
1951,Sherburne,1951-04-28,68.0
1951,Sherburne,1951-04-29,68.0
1951,Sherburne,1951-04-30,68.0
1951,Sherburne,1951-05-01,70.0
1951,Sherburne,1951-05-02,71.0
1951,Sherburne,1951-05-03,71.0
1951,Sherburne,1951-05-04,72.0
1951,Sherburne,1951-05-05,72.0
1951,Sherburne,1951-05-06,72.0
1951,Sherburne,1951-05-07,72.0
1951,Sherburne,1951-05-08,77.0
1951,Sherburne,1951-05-09,80.0
1951,Sherburne,1951-05-10,80.0
1951,Sherburne,1951-05-11,80.0
1951,Sherburne,1951-05-12,81.0
1951,Sherburne,1951-05-13,81.0
1951,Sherburne,1951-05-14,85.0
1951,Sherburne,1951-05-15,87.0
1951,Sherburne,1951-05-16,88.0
1951,Sherburne,1951-05-17,88.0
1951,Sherburne,1951-05-18,89.0
1951,Sherburne,1951-05-19,90.0
1951,Stearns,1951-04-15,73.0
1951,Stearns,1951-04-16,73.0
1951,Stearns,1951-04-17,73.0
1951,Stearns,1951-04-18,73.0
1951,Stearns,1951-04-19,73.0
1951,Stearns,1951-04-20,73.0
1951,Stearns,1951-04-21,73.0
1951,Stearns,1951-04-22,73.0
1951,Stearns,1951-04-23,73.0
1951,Stearns,1951-04-24,73.0
1951,Stearns,1951-04-25,73.0
1951,Stearns,1951-04-26,73.0
1951,Stearns,1951-04-27,74.0
1951,Stearns,1951-04-28,74.0
1951,Stearns,1951-04-29,76.0
1951,Stearns,1951-04-30,83.0
1951,Stearns,1951-05-01,84.0
1951,Stearns,1951-05-02,83.0
1951,Stearns,1951-05-03,83.0
1951,Stearns,1951-05-04,88.0
1951,Stearns,1951-05-05,89.0
1951,Stearns,1951-05-06,89.0
1951,Stearns,1951-05-07,89.0
1951,Stearns,1951-05-08,90.0
1951,Stearns,1951-05-09,90.0
1951,Stearns,1951-05-10,91.0
1951,Stearns,1951-05-11,92.0
1951,Stearns,1951-05-12,92.0
1951,Stearns,1951-05-13,119.0
1951,Todd,1951-04-15,95.0
1951,Todd,1951-04-16,95.0
1951,Todd,1951-04-17,95.0
1951,Todd,1951-04-18,95.0
1951,Todd,1951-04-19,95.0
1951,Todd,1951-04-20,95.0
1951,Todd,1951-04-21,95.0
1951,Todd,1951-04-22,95.0
1951,Todd,1951-04-23,95.0
1951,Todd,1951-04-24,95.0
1951,Todd,1951-04-25,95.0
1951,Todd,1951-04-26,94.0
1951,Todd,1951-04-27,94.0
1951,Todd,1951-04-28,95.0
1951,Todd,1951-04-29,95.0
1952,Benton,1952-04-15,61.0
1952,Benton,1952-04-16,61.0
1952,Benton,1952-04-17,61.0
1952,Benton,1952-04-18,61.0
1952,Benton,1952-04-19,61.0
1952,Benton,1952-04-20,61.0
1952,Benton,1952-04-21,61.0
1952,Benton,1952-04-22,60.0
1952,Benton,1952-04-23,60.0
1952,Benton,1952-04-24,60.0
1952,Benton,1952-04-25,61.0
1952,Benton,1952-04-26,60.0
1952,Benton,1952-04-27,61.0
1952,Benton,1952-04-28,61.0
1952,Benton,1952-04-29,62.0
1952,Benton,1952-04-30,64.0
1952,Benton,1952-05-01,64.0
1952,Benton,1952-05-02,64.0
1952,Benton,1952-05-03,65.0
1952,Benton,1952-05-04,66.0
1952,Benton,1952-05-05,66.0
1952,Benton,1952-05-06,65.0
1952,Benton,1952-05-07,65.0
1952,Benton,1952-05-08,65.0
1952,Benton,1952-05-09,64.0
1952,Benton,1952-05-10,64.0
1952,Benton,1952-05-11,64.0
1952,Benton,1952-05-12,64.0
1952,Benton,1952-05-13,65.0
1952,Benton,1952-05-14,64.0
