County,Year,Sensitive Planting Start,Sensitive Planting End
Wadena,1952,1952-04-15,1952-05-07
Wadena,1953,1953-04-15,1953-05-30
Wadena,1955,1955-04-15,1955-05-30
Wadena,1956,1956-04-15,1956-05-14
Wadena,1957,1957-04-15,1957-04-29
Wadena,1958,1958-04-15,1958-04-16
Wadena,1959,1959-04-15,1959-05-09
Wadena,1960,1960-04-15,1960-05-17
Wadena,1961,1961-04-15,1961-05-22
Wadena,1962,1962-04-15,1962-04-25
Wadena,1963,1963-04-15,1963-06-06
Wadena,1964,1964-04-15,1964-05-10
Wadena,1966,1966-04-15,1966-05-05
Wadena,1969,1969-04-15,1969-04-22
Wadena,1970,1970-04-15,1970-05-21
Wadena,1971,1971-04-15,1971-04-24
Wadena,1973,1973-04-15,1973-05-10
Wadena,1975,1975-04-15,1975-05-18
Wadena,1976,1976-04-15,1976-05-25
Wadena,1977,1977-04-15,1977-05-11
Wadena,1978,1978-04-15,1978-05-21
Wadena,1980,1980-04-15,1980-05-01
Wadena,1981,1981-04-15,1981-04-23
Wadena,1982,1982-04-15,1982-04-16
Wadena,1983,1983-04-15,1983-05-27
Wadena,1984,1984-04-15,1984-05-11
Wadena,1986,1986-04-15,1986-04-30
Wadena,1987,1987-04-15,1987-05-18
Wadena,1988,1988-04-15,1988-05-30
Wadena,1989,1989-04-15,1989-05-19
Wadena,1990,1990-04-15,1990-05-20
Wadena,1991,1991-04-15,1991-05-24
Wadena,1994,1994-04-15,1994-05-18
Wadena,1995,1995-04-15,1995-05-16
Wadena,1996,1996-04-15,1996-05-04
Wadena,1997,1997-04-15,1997-05-09
Wadena,1998,1998-04-15,1998-05-25
Wadena,1999,1999-04-15,1999-05-19
Wadena,2000,2000-04-15,2000-05-06
Wadena,2001,2001-04-15,2001-05-26
Wadena,2002,2002-04-15,2002-05-23
Wadena,2003,2003-04-15,2003-05-23
Wadena,2005,2005-04-15,2005-06-02
Wadena,2006,2006-04-15,2006-05-28
Wadena,2007,2007-04-15,2007-06-01
Wadena,2008,2008-04-15,2008-05-08
Wadena,2010,2010-04-15,2010-05-24
Wadena,2012,2012-04-15,2012-05-25
Wadena,2013,2013-04-15,2013-05-21
Wadena,2014,2014-04-15,2014-05-19
Wadena,2015,2015-04-15,2015-06-06
Wadena,2016,2016-04-15,2016-06-04
Wadena,2017,2017-04-15,2017-05-13
Wadena,2018,2018-04-15,2018-05-22
Wadena,2019,2019-04-15,2019-04-25
Wadena,2020,2020-04-15,2020-05-25
Wadena,2021,2021-04-15,2021-06-11
Wadena,2022,2022-04-15,2022-05-31
Wadena,2023,2023-04-15,2023-06-06
Wadena,2024,2024-04-15,2024-06-10
Cass,1952,1952-04-15,1952-04-30
Cass,1953,1953-04-15,1953-05-19
Cass,1955,1955-04-15,1955-05-21
Cass,1957,1957-04-15,1957-04-23
Cass,1959,1959-04-15,1959-05-02
Cass,1960,1960-04-15,1960-05-11
Cass,1961,1961-04-15,1961-05-15
Cass,1962,1962-04-15,1962-04-18
Cass,1963,1963-04-15,1963-06-03
Cass,1964,1964-04-15,1964-04-27
Cass,1970,1970-04-15,1970-05-16
Cass,1971,1971-04-15,1971-04-17
Cass,1973,1973-04-15,1973-05-05
Cass,1975,1975-04-15,1975-05-13
Cass,1976,1976-04-15,1976-05-18
Cass,1977,1977-04-15,1977-05-08
Cass,1978,1978-04-15,1978-05-14
Cass,1980,1980-04-15,1980-04-29
Cass,1983,1983-04-15,1983-05-19
Cass,1984,1984-04-15,1984-04-28
Cass,1987,1987-04-15,1987-05-15
Cass,1988,1988-04-15,1988-05-26
Cass,1989,1989-04-15,1989-05-16
Cass,1990,1990-04-15,1990-05-07
Cass,1991,1991-04-15,1991-05-21
Cass,1994,1994-04-15,1994-05-12
Cass,1995,1995-04-15,1995-05-13
Cass,1996,1996-04-15,1996-04-18
Cass,1997,1997-04-15,1997-04-27
Cass,1998,1998-04-15,1998-05-20
Cass,1999,1999-04-15,1999-05-10
Cass,2000,2000-04-15,2000-05-02
Cass,2001,2001-04-15,2001-05-20
Cass,2002,2002-04-15,2002-05-18
Cass,2003,2003-04-15,2003-05-19
Cass,2005,2005-04-15,2005-05-25
Cass,2006,2006-04-15,2006-05-26
Cass,2007,2007-04-15,2007-05-28
Cass,2008,2008-04-15,2008-04-22
Cass,2010,2010-04-15,2010-05-23
Cass,2012,2012-04-15,2012-05-22
Cass,2013,2013-04-15,2013-05-16
Cass,2014,2014-04-15,2014-05-11
Cass,2015,2015-04-15,2015-06-01
Cass,2016,2016-04-15,2016-05-29
Cass,2017,2017-04-15,2017-05-05
Cass,2018,2018-04-15,2018-05-19
Cass,2019,2019-04-15,2019-04-21
Cass,2020,2020-04-15,2020-05-21
Cass,2021,2021-04-15,2021-06-09
Cass,2022,2022-04-15,2022-05-25
Cass,2023,2023-04-15,2023-06-01
Cass,2024,2024-04-15,2024-06-05
Crow_Wing,1952,1952-04-15,1952-05-06
Crow_Wing,1953,1953-04-15,1953-05-27
Crow_Wing,1955,1955-04-15,1955-05-25
Crow_Wing,1956,1956-04-15,1956-05-11
Crow_Wing,1957,1957-04-15,1957-04-29
Crow_Wing,1958,1958-04-15,1958-04-16
Crow_Wing,1959,1959-04-15,1959-05-10
Crow_Wing,1960,1960-04-15,1960-05-18
Crow_Wing,1961,1961-04-15,1961-05-23
Crow_Wing,1962,1962-04-15,1962-04-27
Crow_Wing,1963,1963-04-15,1963-06-06
Crow_Wing,1964,1964-04-15,1964-05-10
Crow_Wing,1966,1966-04-15,1966-04-22
Crow_Wing,1968,1968-04-15,1968-04-16
Crow_Wing,1969,1969-04-15,1969-04-20
Crow_Wing,1970,1970-04-15,1970-05-21
Crow_Wing,1971,1971-04-15,1971-04-25
Crow_Wing,1972,1972-04-15,1972-04-25
Crow_Wing,1973,1973-04-15,1973-05-17
Crow_Wing,1974,1974-04-15,1974-04-20
Crow_Wing,1975,1975-04-15,1975-05-21
Crow_Wing,1976,1976-04-15,1976-05-24
Crow_Wing,1977,1977-04-15,1977-05-14
Crow_Wing,1978,1978-04-15,1978-05-21
Crow_Wing,1980,1980-04-15,1980-05-04
Crow_Wing,1981,1981-04-15,1981-04-27
Crow_Wing,1982,1982-04-15,1982-04-24
Crow_Wing,1983,1983-04-15,1983-05-27
Crow_Wing,1984,1984-04-15,1984-05-12
Crow_Wing,1986,1986-04-15,1986-04-28
Crow_Wing,1987,1987-04-15,1987-05-25
Crow_Wing,1988,1988-04-15,1988-05-29
Crow_Wing,1989,1989-04-15,1989-05-19
Crow_Wing,1990,1990-04-15,1990-05-12
Crow_Wing,1991,1991-04-15,1991-05-23
Crow_Wing,1994,1994-04-15,1994-05-18
Crow_Wing,1995,1995-04-15,1995-05-17
Crow_Wing,1996,1996-04-15,1996-05-05
Crow_Wing,1997,1997-04-15,1997-05-05
Crow_Wing,1998,1998-04-15,1998-05-28
Crow_Wing,1999,1999-04-15,1999-05-22
Crow_Wing,2000,2000-04-15,2000-05-06
Crow_Wing,2001,2001-04-15,2001-05-30
Crow_Wing,2002,2002-04-15,2002-05-24
Crow_Wing,2003,2003-04-15,2003-05-26
Crow_Wing,2005,2005-04-15,2005-06-04
Crow_Wing,2006,2006-04-15,2006-05-29
Crow_Wing,2007,2007-04-15,2007-06-02
