Crop,Stage,Becker DAP,DAP Difference,Becker AGDD (°F),AGDD Difference
Soybean,VE,4,-1,76.2,13.700000000000003
Soybean,V1,13,1,163.7,7.189999999999998
Soybean,V2,24,4,257.6,5.870000000000033
Soybean,V4,36,6,418.8,2.009999999999991
Soybean,V6,43,7,522.5,3.830000000000041
Soybean,V8,53,9,669.9,7.860000000000014
Soybean,R1,61,10,806.6,6.139999999999986
Soybean,R2,79,10,1184.0,14.900000000000091
Soybean,R3,88,8,1403.2,1.7200000000000273
Soybean,R4,107,15,1671.2,14.660000000000082
Soybean,R5,124,17,1935.1,8.289999999999964
Soybean,R6,132,18,2101.7,11.449999999999818
Soybean,R7,139,18,2203.5,5.9699999999998
Soybean,R8,148,20,2326.2,4.019999999999982
