Crop,Stage,Becker DAP,Crow_Wing DAP,DAP Difference,Becker AGDD (°F),Crow_Wing AGDD (°F),AGDD Difference
Soybean,VE,14,13,-1,191.16,199.4,8.240000000000009
Soybean,V1,21,22,1,334.89,347.4,12.509999999999991
Soybean,V3,28,30,2,502.29,508.5,6.2099999999999795
Soybean,V6,35,38,3,606.96,618.3,11.339999999999918
Soybean,V7,42,45,3,771.66,775.5,3.840000000000032
Soybean,V10,49,54,5,941.85,955.4,13.549999999999955
Soybean,R1,56,65,9,1101.6,1119.0,17.40000000000009
Soybean,R2,70,78,8,1350.81,1363.1,12.289999999999964
Soybean,R3,83,58,-25,1011.15,1014.7,3.550000000000068
Soybean,R4,98,76,-22,1296.72,1311.0,14.279999999999973
Soybean,R5,112,90,-22,1600.11,1605.4,5.290000000000191
Soybean,R7,128,110,-18,1931.13,1936.7,5.569999999999936
Soybean,R8,135,117,-18,2074.86,2084.5,9.639999999999873
