Crop,Stage,Becker DAP,Douglas DAP,DAP Difference,Becker AGDD (°F),Douglas AGDD (°F),AGDD Difference
Soybean,VE,14,12,-2,191.16,192.6,1.4399999999999977
Soybean,V1,21,20,-1,334.89,337.5,2.6100000000000136
Soybean,V3,28,27,-1,502.29,504.3,2.009999999999991
Soybean,V6,35,33,-2,606.96,607.8,0.8399999999999181
Soybean,V7,42,42,0,771.66,773.9,2.240000000000009
Soybean,V10,49,51,2,941.85,959.7,17.850000000000023
Soybean,R1,56,60,4,1101.6,1108.4,6.800000000000182
Soybean,R2,70,75,5,1350.81,1356.8,5.990000000000009
Soybean,R3,83,54,-29,1011.15,1025.4,14.250000000000114
Soybean,R4,98,73,-25,1296.72,1315.4,18.680000000000064
Soybean,R5,112,86,-26,1600.11,1601.9,1.790000000000191
Soybean,R7,128,105,-23,1931.13,1957.3,26.169999999999845
Soybean,R8,135,111,-24,2074.86,2077.1,2.2399999999997817
