Crop,Stage,Becker DAP,Hubbard DAP,DAP Difference,Becker AGDD (°F),Hubbard AGDD (°F),AGDD Difference
Soybean,VE,5,4,-1,62.5,73.1,10.599999999999994
Soybean,V1,12,13,1,156.51,158.0,1.490000000000009
Soybean,V2,20,25,5,251.73,262.3,10.570000000000022
Soybean,V4,30,37,7,416.79,419.3,2.509999999999991
Soybean,V6,36,45,9,518.67,531.9,13.230000000000018
Soybean,V8,44,55,11,662.04,669.8,7.759999999999991
Soybean,R1,51,63,12,800.46,814.6,14.139999999999986
Soybean,R2,69,81,12,1169.1,1187.4,18.300000000000182
Soybean,R3,80,94,14,1401.48,1404.6,3.119999999999891
Soybean,R4,92,109,17,1656.54,1666.9,10.360000000000127
Soybean,R5,107,127,20,1926.81,1939.5,12.690000000000055
Soybean,R6,114,134,20,2090.25,2098.8,8.550000000000182
Soybean,R7,121,142,21,2197.53,2202.1,4.569999999999709
Soybean,R8,128,155,27,2322.18,2332.5,10.320000000000164
