Crop,Stage,Becker DAP,Kandiyohi DAP,DAP Difference,Becker AGDD (°F),Kandiyohi AGDD (°F),AGDD Difference
Soybean,VE,14,13,-1,191.16,208.3,17.140000000000015
Soybean,V1,21,20,-1,334.89,338.6,3.7100000000000364
Soybean,V3,28,27,-1,502.29,512.0,9.70999999999998
Soybean,V6,35,32,-3,606.96,612.5,5.539999999999964
Soybean,V7,42,41,-1,771.66,774.5,2.840000000000032
Soybean,V10,49,49,0,941.85,958.9,17.049999999999955
Soybean,R1,56,56,0,1101.6,1113.0,11.400000000000091
Soybean,R2,70,71,1,1350.81,1353.4,2.5900000000001455
Soybean,R3,83,52,-31,1011.15,1025.6,14.449999999999932
Soybean,R4,98,68,-30,1296.72,1301.7,4.980000000000018
Soybean,R5,112,83,-29,1600.11,1610.9,10.790000000000191
Soybean,R7,128,100,-28,1931.13,1943.5,12.36999999999989
Soybean,R8,135,107,-28,2074.86,2099.4,24.539999999999964
