Crop,Stage,Becker DAP,Morrison DAP,DAP Difference,Becker AGDD (°F),Morrison AGDD (°F),AGDD Difference
Soybean,VE,5,4,-1,62.5,73.7,11.200000000000003
Soybean,V1,12,12,0,156.51,164.3,7.7900000000000205
Soybean,V2,20,21,1,251.73,252.2,0.46999999999999886
Soybean,V4,30,34,4,416.79,427.9,11.109999999999957
Soybean,V6,36,40,4,518.67,534.8,16.129999999999995
Soybean,V8,44,49,5,662.04,680.9,18.860000000000014
Soybean,R1,51,58,7,800.46,814.9,14.43999999999994
Soybean,R2,69,76,7,1169.1,1183.9,14.800000000000182
Soybean,R3,80,86,6,1401.48,1410.4,8.920000000000073
Soybean,R4,92,102,10,1656.54,1660.4,3.8600000000001273
Soybean,R5,107,116,9,1926.81,1930.7,3.8900000000001
Soybean,R6,114,128,14,2090.25,2108.0,17.75
Soybean,R7,121,132,11,2197.53,2198.7,1.169999999999618
Soybean,R8,128,140,12,2322.18,2328.5,6.320000000000164
