Crop,Stage,Becker DAP,Otter_Tail DAP,DAP Difference,Becker AGDD (°F),Otter_Tail AGDD (°F),AGDD Difference
Soybean,VE,5,3,-2,62.5,62.8,0.29999999999999716
Soybean,V1,12,12,0,156.51,161.9,5.390000000000015
Soybean,V2,20,23,3,251.73,263.3,11.570000000000022
Soybean,V4,30,35,5,416.79,422.8,6.009999999999991
Soybean,V6,36,41,5,518.67,528.7,10.030000000000086
Soybean,V8,44,50,6,662.04,670.3,8.259999999999991
Soybean,R1,51,59,8,800.46,808.7,8.240000000000009
Soybean,R2,69,77,8,1169.1,1180.2,11.100000000000136
Soybean,R3,80,87,7,1401.48,1421.4,19.920000000000073
Soybean,R4,92,104,12,1656.54,1675.2,18.660000000000082
Soybean,R5,107,119,12,1926.81,1939.3,12.490000000000009
Soybean,R6,114,129,15,2090.25,2099.4,9.150000000000091
Soybean,R7,121,134,13,2197.53,2218.5,20.9699999999998
Soybean,R8,128,142,14,2322.18,2326.0,3.8200000000001637
