Crop,Stage,Becker DAP,Sherburne DAP,DAP Difference,Becker AGDD (°F),Sherburne AGDD (°F),AGDD Difference
Soybean,VE,5,4,-1,62.5,74.8,12.299999999999997
Soybean,V1,12,11,-1,156.51,163.7,7.189999999999998
Soybean,V2,20,19,-1,251.73,258.5,6.77000000000001
Soybean,V4,30,30,0,416.79,417.2,0.40999999999996817
Soybean,V6,36,37,1,518.67,528.3,9.629999999999995
Soybean,V8,44,45,1,662.04,666.2,4.160000000000082
Soybean,R1,51,53,2,800.46,807.8,7.339999999999918
Soybean,R2,69,72,3,1169.1,1179.9,10.800000000000182
Soybean,R3,80,83,3,1401.48,1426.7,25.220000000000027
Soybean,R4,92,97,5,1656.54,1668.4,11.860000000000127
Soybean,R5,107,110,3,1926.81,1935.1,8.289999999999964
Soybean,R6,114,119,5,2090.25,2092.2,1.949999999999818
Soybean,R7,121,127,6,2197.53,2211.5,13.9699999999998
Soybean,R8,128,132,4,2322.18,2326.1,3.9200000000000728
