Crop,Stage,Becker DAP,Wadena DAP,DAP Difference,Becker AGDD (°F),Wadena AGDD (°F),AGDD Difference
Soybean,VE,5,4,-1,62.5,74.7,12.200000000000003
Soybean,V1,12,12,0,156.51,156.8,0.29000000000002046
Soybean,V2,20,23,3,251.73,260.5,8.77000000000001
Soybean,V4,30,36,6,416.79,433.4,16.609999999999957
Soybean,V6,36,42,6,518.67,529.6,10.930000000000064
Soybean,V8,44,51,7,662.04,664.6,2.560000000000059
Soybean,R1,51,60,9,800.46,806.2,5.740000000000009
Soybean,R2,69,78,9,1169.1,1171.6,2.5
Soybean,R3,80,88,8,1401.48,1414.9,13.420000000000073
Soybean,R4,92,105,13,1656.54,1665.4,8.860000000000127
Soybean,R5,107,120,13,1926.81,1933.8,6.990000000000009
Soybean,R6,114,130,16,2090.25,2094.4,4.150000000000091
Soybean,R7,121,135,14,2197.53,2211.9,14.36999999999989
Soybean,R8,128,144,16,2322.18,2336.7,14.519999999999982
