clouds,datetime,dewpt,dhi,dni,ghi,max_dhi,max_dni,max_ghi,max_temp,max_temp_ts,max_uv,max_wind_dir,max_wind_spd,max_wind_spd_ts,min_temp,min_temp_ts,precip,precip_gpm,pres,revision_status,rh,slp,snow,snow_depth,solar_rad,t_dhi,t_dni,t_ghi,t_solar_rad,temp,ts,wind_dir,wind_gust_spd,wind_spd,latitude,longitude
81,2023-01-01,-4.7,22,197,75,83,722,342,1.0,1672552800,0.7,262,3.7,1672617600,-5.1,1672635600,0.0,0.0,975,final,87,1011,0.0,231.0,17,538,4738,1804,417,-2.8,1672552800,262,6.4,2.4,45.344,-93.852
100,2023-01-02,-6.4,22,198,76,83,723,344,-4.2,1672711200,0.6,255,2.3,1672722000,-6.0,1672668000,0.0,0.0,981,final,90,1017,0.0,226.0,10,540,4753,1815,228,-5.0,1672639200,255,4.4,1.0,45.344,-93.852
100,2023-01-03,-5.4,23,199,76,83,725,345,-0.6,1672808400,0.6,41,6.7,1672779600,-6.1,1672754400,14.8,14.8,970,final,89,1005,237.8,212.0,14,542,4770,1828,347,-3.9,1672725600,41,10.4,4.4,45.344,-93.852
100,2023-01-04,-2.8,23,199,77,83,726,347,0.2,1672855200,0.6,265,5.2,1672862400,-3.0,1672894800,14.3,14.3,969,final,89,1005,161.5,325.0,11,544,4787,1841,258,-1.3,1672812000,265,10.4,4.5,45.344,-93.852
88,2023-01-05,-8.2,23,200,77,83,727,349,-3.0,1672905600,1.8,306,5.7,1672909200,-17.6,1672981200,1.5,1.5,977,final,85,1014,25.0,350.0,77,546,4806,1855,1843,-6.1,1672898400,306,8.2,3.4,45.344,-93.852
19,2023-01-06,-19.5,23,201,78,84,728,351,-8.8,1673038800,1.9,241,2.4,1673038800,-23.0,1673006400,0.0,0.0,985,final,80,1023,0.0,334.0,78,548,4826,1871,1870,-16.9,1672984800,241,4.0,1.8,45.344,-93.852
0,2023-01-07,-18.8,23,202,79,84,730,353,-7.0,1673121600,1.9,169,2.8,1673146800,-22.5,1673100000,0.0,0.0,990,final,79,1028,0.0,323.0,79,551,4847,1887,1887,-15.9,1673071200,169,5.2,1.3,45.344,-93.852
3,2023-01-08,-16.6,23,203,79,84,731,355,-7.0,1673211600,1.9,163,2.8,1673208000,-20.4,1673157600,0.0,0.0,983,final,78,1020,0.0,315.0,79,554,4869,1905,1903,-13.5,1673157600,163,6.4,1.8,45.344,-93.852
47,2023-01-09,-10.7,23,204,80,84,733,358,-1.0,1673301600,0.7,97,2.8,1673290800,-18.2,1673269200,0.0,0.0,974,final,84,1011,0.0,307.0,23,557,4892,1923,558,-8.5,1673244000,97,5.6,1.5,45.344,-93.852
100,2023-01-10,-3.6,23,205,81,85,735,360,-0.6,1673384400,0.6,265,2.5,1673352000,-3.0,1673341200,0.0,0.0,973,final,89,1009,0.0,300.0,16,560,4916,1942,385,-2.0,1673330400,265,4.4,1.1,45.344,-93.852
100,2023-01-11,-2.8,23,206,82,85,737,363,0.5,1673470800,0.6,201,4.5,1673499600,-2.7,1673420400,7.5,7.5,974,final,88,1009,102.0,348.0,22,563,4941,1962,529,-1.1,1673416800,201,7.7,1.7,45.344,-93.852
97,2023-01-12,-9.1,24,207,83,85,738,366,-2.3,1673503200,0.7,317,5.7,1673560800,-8.5,1673586000,0.0,0.0,987,final,79,1023,0.0,364.0,21,567,4968,1984,511,-6.0,1673503200,317,10.3,4.7,45.344,-93.852
