clouds,datetime,dewpt,dhi,dni,ghi,max_dhi,max_dni,max_ghi,max_temp,max_temp_ts,max_uv,max_wind_dir,max_wind_spd,max_wind_spd_ts,min_temp,min_temp_ts,precip,precip_gpm,pres,revision_status,rh,slp,snow,snow_depth,solar_rad,t_dhi,t_dni,t_ghi,t_solar_rad,temp,ts,wind_dir,wind_gust_spd,wind_spd,latitude,longitude
76,2023-01-01,-5.0,23,200,77,84,727,349,1.7,1672552800,0.9,261,4.1,1672556400,-6.0,1672628400,0.0,0.0,982,final,82,1013,0.0,220.0,26,549,4802,1846,620,-2.3,1672552800,261,6.4,2.8,44.993,-93.175
100,2023-01-02,-6.3,23,201,77,84,728,351,-3.3,1672722000,0.6,209,3.0,1672718400,-6.0,1672668000,0.5,0.5,987,final,87,1019,7.5,217.0,10,551,4817,1857,232,-4.4,1672639200,209,4.4,1.6,44.993,-93.175
98,2023-01-03,-4.9,23,201,78,84,729,352,-0.6,1672797600,0.6,34,6.6,1672761600,-4.4,1672740000,25.3,25.3,976,final,87,1007,376.9,177.0,14,553,4834,1870,330,-3.0,1672725600,34,14.0,5.2,44.993,-93.175
100,2023-01-04,-1.5,23,202,78,84,730,354,1.0,1672851600,0.6,32,5.7,1672822800,-1.1,1672894800,29.8,29.8,975,final,92,1005,331.8,300.0,9,555,4852,1884,217,-0.3,1672812000,32,10.8,5.0,44.993,-93.175
97,2023-01-05,-6.4,23,203,79,84,732,356,-1.1,1672898400,1.1,298,7.0,1672912800,-8.0,1672977600,1.5,1.5,983,final,84,1015,93.0,393.0,54,557,4871,1898,1301,-4.1,1672898400,298,11.3,4.5,44.993,-93.175
49,2023-01-06,-13.0,23,204,80,84,733,358,-7.2,1672984800,1.9,238,3.5,1672984800,-14.9,1673067600,0.0,0.0,991,final,82,1024,0.0,370.0,76,560,4892,1914,1814,-10.5,1672984800,238,3.8,2.3,44.993,-93.175
4,2023-01-07,-16.2,23,205,80,85,734,360,-6.7,1673128800,2.0,206,2.4,1673139600,-17.2,1673092800,0.0,0.0,998,final,77,1030,0.0,353.0,74,562,4913,1930,1782,-13.1,1673071200,206,4.4,1.4,44.993,-93.175
4,2023-01-08,-14.0,24,206,81,85,736,362,-5.0,1673208000,2.0,164,3.2,1673211600,-16.1,1673179200,0.0,0.0,990,final,78,1023,0.0,341.0,81,565,4936,1948,1948,-10.9,1673157600,164,6.8,2.2,44.993,-93.175
61,2023-01-09,-8.5,24,207,82,85,737,365,0.0,1673301600,1.1,146,4.1,1673287200,-12.8,1673258400,0.0,0.0,982,final,83,1014,0.0,330.0,41,568,4960,1966,993,-6.1,1673244000,146,6.0,2.7,44.993,-93.175
100,2023-01-10,-5.9,24,208,83,85,739,367,-2.2,1673388000,0.6,237,2.9,1673330400,-6.7,1673341200,0.0,0.0,980,final,88,1011,0.0,321.0,14,571,4986,1986,333,-4.2,1673330400,237,4.0,1.5,44.993,-93.175
100,2023-01-11,-2.7,24,209,84,86,741,370,0.6,1673478000,0.8,198,5.5,1673488800,-3.3,1673416800,3.3,3.3,980,final,88,1011,33.0,354.0,38,574,5012,2006,902,-0.8,1673416800,198,6.4,2.3,44.993,-93.175
100,2023-01-12,-7.6,24,210,84,86,743,373,0.0,1673503200,0.6,328,7.2,1673550000,-7.1,1673586000,0.5,0.5,992,final,80,1024,6.0,360.0,21,577,5040,2028,500,-4.6,1673503200,328,10.3,5.8,44.993,-93.175
100,2023-01-13,-9.9,24,211,85,86,744,376,-6.7,1673636400,0.7,207,4.9,1673589600,-10.0,1673672400,0.0,0.0,997,final,84,1029,0.0,351.0,25,581,5069,2050,591,-7.7,1673589600,207,6.8,2.7,44.993,-93.175
80,2023-01-14,-8.1,24,212,86,86,746,379,-0.6,1673744400,1.2,158,7.4,1673722800,-11.0,1673679600,0.0,0.0,985,final,80,1017,0.0,344.0,31,585,5099,2074,735,-5.0,1673676000,158,12.5,5.5,44.993,-93.175
